"case","h","period","n_obs","RMSE_2SRR","RMSE_RW","ratio_vs_RW"
"AR",1,"Post-GFC/Pre-COVID",116,0.1874,0.2151,0.8711
"AR",1,"COVID",16,0.2855,0.298,0.9581
"AR",1,"High Inflation",24,0.3624,0.4164,0.8703
"AR",1,"Post-Inflation",24,0.122,0.1376,0.8867
"AR",3,"Post-GFC/Pre-COVID",116,0.4944,0.6882,0.7184
"AR",3,"COVID",16,0.9453,1.1076,0.8535
"AR",3,"High Inflation",24,0.6478,1.0626,0.6096
"AR",3,"Post-Inflation",24,0.3841,0.5063,0.7586
"AR",6,"Post-GFC/Pre-COVID",116,0.7798,1.2736,0.6123
"AR",6,"COVID",16,1.5844,2.1531,0.7359
"AR",6,"High Inflation",24,1.1195,2.0423,0.5481
"AR",6,"Post-Inflation",24,0.3602,0.9146,0.3939
"AR",12,"Post-GFC/Pre-COVID",116,1.1956,2.3852,0.5013
"AR",12,"COVID",16,4.2426,4.7884,0.886
"AR",12,"High Inflation",24,2.6818,4.1132,0.652
"AR",12,"Post-Inflation",24,0.3185,1.8571,0.1715
"Factor",1,"Post-GFC/Pre-COVID",116,0.1786,0.2151,0.83
"Factor",1,"COVID",16,0.4434,0.298,1.4882
"Factor",1,"High Inflation",24,0.3512,0.4164,0.8435
"Factor",1,"Post-Inflation",24,0.1351,0.1376,0.9819
"Factor",3,"Post-GFC/Pre-COVID",116,0.5003,0.6882,0.7271
"Factor",3,"COVID",16,1.2662,1.1076,1.1432
"Factor",3,"High Inflation",24,0.7349,1.0626,0.6916
"Factor",3,"Post-Inflation",24,0.3872,0.5063,0.7647
"Factor",6,"Post-GFC/Pre-COVID",116,0.8183,1.2736,0.6425
"Factor",6,"COVID",16,2.1254,2.1531,0.9872
"Factor",6,"High Inflation",24,1.3158,2.0423,0.6442
"Factor",6,"Post-Inflation",24,0.4954,0.9146,0.5417
"Factor",12,"Post-GFC/Pre-COVID",116,1.2272,2.3852,0.5145
"Factor",12,"COVID",16,4.0804,4.7884,0.8521
"Factor",12,"High Inflation",24,2.1011,4.1132,0.5108
"Factor",12,"Post-Inflation",24,1.0898,1.8571,0.5868
"FAVAR",1,"Post-GFC/Pre-COVID",116,0.175,0.2151,0.8133
"FAVAR",1,"COVID",16,0.4411,0.298,1.4803
"FAVAR",1,"High Inflation",24,0.3541,0.4164,0.8504
"FAVAR",1,"Post-Inflation",24,0.1413,0.1376,1.0268
"FAVAR",3,"Post-GFC/Pre-COVID",116,0.464,0.6882,0.6743
"FAVAR",3,"COVID",16,1.1482,1.1076,1.0367
"FAVAR",3,"High Inflation",24,0.7141,1.0626,0.672
"FAVAR",3,"Post-Inflation",24,0.3996,0.5063,0.7892
"FAVAR",6,"Post-GFC/Pre-COVID",116,0.7802,1.2736,0.6126
"FAVAR",6,"COVID",16,1.7693,2.1531,0.8218
"FAVAR",6,"High Inflation",24,1.2468,2.0423,0.6105
"FAVAR",6,"Post-Inflation",24,0.3731,0.9146,0.4079
"FAVAR",12,"Post-GFC/Pre-COVID",116,1.1545,2.3852,0.484
"FAVAR",12,"COVID",16,4.603,4.7884,0.9613
"FAVAR",12,"High Inflation",24,2.452,4.1132,0.5961
"FAVAR",12,"Post-Inflation",24,0.5165,1.8571,0.2781
