"id","descricao","status","evidencia"
"V1","yout = cumsum(y) por h","OK","max diff em 4 h: 0.00e+00"
"V2","Standalone reproduz Eq. 5 do paper (dual = primal)","OK","validado em 03 (diff < 1e-6)"
"V3","coulombe_fast bit-exato ao dualGRR original","OK","validado em 03 (diff < 1e-9)"
"V4","Coulombe (2025): TVP > Ridge em h longo > h curto","OK","ratio h=1: 1.037 vs h=12: 1.016"
"V5","sigma^2_u,k heterogeneos entre variaveis","OK","max/min ratio (FAVAR): 17.44, 25.34, 27.67, 13.08"
"V6","Step 4 recalibra Step 1 (cor < 0.7 em algum h)","OK","cor por h: 0.98, 0.92, 0.35, 0.5"
"V7","Lambda CV nao em canto do grid","AVISO","max % janelas no canto: 96.7%"
"V8","Betas TVP nao-triviais (sd>0 em >30% dos coef)","OK","ativos/total por h: 11/11, 11/11, 11/11, 11/11"
"V9","DM produzido para a maioria das comparacoes","OK","100% de pares com DM definido"
"V10","GW: n suficiente para chi^2 assintotico","OK","min n: 168"
"V11","MCS 90%: pelo menos 1 sobrevivente por h","OK","modelos por h: 18, 18, 18, 18"
"V12","Forecasts nao explodem (|f| < 10x|y|)","OK","0 outliers em 2160 (0.00%)"
