"case","h","step","n","pct_canto_max","pct_canto_min","lambda_median"
"AR",1,"lambda_step1",180,20,0,1678369.48144212
"AR",1,"lambda",180,64.4,0,65659969.1373305
"AR",3,"lambda_step1",180,66.7,0,65659969.1373305
"AR",3,"lambda",180,70.6,0,65659969.1373305
"AR",6,"lambda_step1",180,74.4,0,65659969.1373305
"AR",6,"lambda",180,92.8,0,65659969.1373305
"AR",12,"lambda_step1",180,88.3,0,65659969.1373305
"AR",12,"lambda",180,95,0,65659969.1373305
"Factor",1,"lambda_step1",180,24.4,0,671095.457017573
"Factor",1,"lambda",180,25.6,0,268337.286520874
"Factor",3,"lambda_step1",180,33.3,0,671095.457017573
"Factor",3,"lambda",180,33.3,0,671095.457017573
"Factor",6,"lambda_step1",180,15.6,0.6,107294.571263206
"Factor",6,"lambda",180,42.2,0.6,1678369.48144212
"Factor",12,"lambda_step1",180,10,0,42901.6972326715
"Factor",12,"lambda",180,61.7,0,65659969.1373305
"FAVAR",1,"lambda_step1",180,30,0,1678369.48144212
"FAVAR",1,"lambda",180,30,0,4197501.39384797
"FAVAR",3,"lambda_step1",180,69.4,0,65659969.1373305
"FAVAR",3,"lambda",180,73.9,0,65659969.1373305
"FAVAR",6,"lambda_step1",180,77.8,0,65659969.1373305
"FAVAR",6,"lambda",180,96.7,0,65659969.1373305
"FAVAR",12,"lambda_step1",180,78.9,0,65659969.1373305
"FAVAR",12,"lambda",180,93.9,0,65659969.1373305
