"h","ref","benchmark","RMSE_ref","RMSE_bn","DM_stat","DM_p","ref_wins"
1,"2SRR-FAVAR","Ridge",0.2375,0.3201,-1.47,0.1433,TRUE
1,"2SRR-FAVAR","LASSO",0.2375,0.2076,1.05,0.295,FALSE
1,"2SRR-FAVAR","ElNET",0.2375,0.2097,1.03,0.3046,FALSE
1,"2SRR-FAVAR","AdaLASSO",0.2375,0.2276,1.016,0.3108,FALSE
1,"2SRR-FAVAR","AdaElNET",0.2375,0.2343,0.958,0.3395,FALSE
1,"2SRR-FAVAR","RF",0.2375,0.2065,1.03,0.3046,FALSE
1,"2SRR-FAVAR","Bagging",0.2375,0.2089,1.085,0.2795,FALSE
1,"2SRR-FAVAR","Factor",0.2375,0.2612,-1.002,0.3176,TRUE
1,"2SRR-FAVAR","T.Factor",0.2375,0.2277,0.98,0.3283,FALSE
1,"2SRR-FAVAR","CSR",0.2375,0.2118,0.995,0.321,FALSE
1,"2SRR-FAVAR","AR",0.2375,0.2211,0.897,0.371,FALSE
1,"2SRR-FAVAR","AR_BIC",0.2375,0.2211,0.897,0.371,FALSE
1,"2SRR-FAVAR","RidgeStep1_AR",0.2375,0.2289,0.9,0.3695,FALSE
1,"2SRR-FAVAR","RidgeStep1_Factor",0.2375,0.2341,0.988,0.3243,FALSE
1,"2SRR-FAVAR","RidgeStep1_FAVAR",0.2375,0.2324,0.966,0.3352,FALSE
3,"2SRR-FAVAR","Ridge",0.5893,0.8532,-0.985,0.3259,TRUE
3,"2SRR-FAVAR","LASSO",0.5893,0.5625,-0.839,0.4024,FALSE
3,"2SRR-FAVAR","ElNET",0.5893,0.5461,-0.007,0.9942,FALSE
3,"2SRR-FAVAR","AdaLASSO",0.5893,0.6491,-0.988,0.3244,TRUE
3,"2SRR-FAVAR","AdaElNET",0.5893,0.6412,-0.984,0.3266,TRUE
3,"2SRR-FAVAR","RF",0.5893,0.5398,0.943,0.3469,FALSE
3,"2SRR-FAVAR","Bagging",0.5893,0.6304,-0.755,0.4511,TRUE
3,"2SRR-FAVAR","Factor",0.5893,0.711,-1.005,0.3162,TRUE
3,"2SRR-FAVAR","T.Factor",0.5893,0.5797,-0.574,0.5664,FALSE
3,"2SRR-FAVAR","CSR",0.5893,0.5571,0.847,0.3981,FALSE
3,"2SRR-FAVAR","AR",0.5893,0.5557,0.917,0.3603,FALSE
3,"2SRR-FAVAR","AR_BIC",0.5893,0.5557,0.917,0.3603,FALSE
3,"2SRR-FAVAR","RidgeStep1_AR",0.5893,0.5816,0.834,0.4056,FALSE
3,"2SRR-FAVAR","RidgeStep1_Factor",0.5893,0.6129,-1.078,0.2823,TRUE
3,"2SRR-FAVAR","RidgeStep1_FAVAR",0.5893,0.5877,-0.99,0.3236,FALSE
6,"2SRR-FAVAR","Ridge",0.9581,1.3219,-1.033,0.3029,TRUE
6,"2SRR-FAVAR","LASSO",0.9581,0.8697,-0.452,0.6516,FALSE
6,"2SRR-FAVAR","ElNET",0.9581,0.8635,-0.479,0.6327,FALSE
6,"2SRR-FAVAR","AdaLASSO",0.9581,1.0275,-0.953,0.3421,TRUE
6,"2SRR-FAVAR","AdaElNET",0.9581,1.0123,-0.946,0.3454,TRUE
6,"2SRR-FAVAR","RF",0.9581,0.8952,0.705,0.4818,FALSE
6,"2SRR-FAVAR","Bagging",0.9581,1.3469,-1.004,0.3168,TRUE
6,"2SRR-FAVAR","Factor",0.9581,1.1881,-0.993,0.322,TRUE
6,"2SRR-FAVAR","T.Factor",0.9581,1.1738,-0.99,0.3233,TRUE
6,"2SRR-FAVAR","CSR",0.9581,1.0763,-1,0.3185,TRUE
6,"2SRR-FAVAR","AR",0.9581,0.9486,0.731,0.4658,FALSE
6,"2SRR-FAVAR","AR_BIC",0.9581,0.9486,0.731,0.4658,FALSE
6,"2SRR-FAVAR","RidgeStep1_AR",0.9581,0.9328,1.145,0.2536,FALSE
6,"2SRR-FAVAR","RidgeStep1_Factor",0.9581,1.0236,-0.954,0.3416,TRUE
6,"2SRR-FAVAR","RidgeStep1_FAVAR",0.9581,0.983,-0.924,0.3567,TRUE
12,"2SRR-FAVAR","Ridge",1.9481,2.9081,-1.127,0.2613,TRUE
12,"2SRR-FAVAR","LASSO",1.9481,1.5624,0.878,0.3814,FALSE
12,"2SRR-FAVAR","ElNET",1.9481,1.5413,1.035,0.302,FALSE
12,"2SRR-FAVAR","AdaLASSO",1.9481,1.8827,-0.876,0.3824,FALSE
12,"2SRR-FAVAR","AdaElNET",1.9481,1.7653,-0.416,0.6779,FALSE
12,"2SRR-FAVAR","RF",1.9481,1.8364,0.744,0.4581,FALSE
12,"2SRR-FAVAR","Bagging",1.9481,2.2218,-1.217,0.2252,TRUE
12,"2SRR-FAVAR","Factor",1.9481,2.081,-0.976,0.3306,TRUE
12,"2SRR-FAVAR","T.Factor",1.9481,2.1013,-0.978,0.3295,TRUE
12,"2SRR-FAVAR","CSR",1.9481,2.1937,-1.032,0.3035,TRUE
12,"2SRR-FAVAR","AR",1.9481,1.8638,1.087,0.2786,FALSE
12,"2SRR-FAVAR","AR_BIC",1.9481,1.8579,1.097,0.2744,FALSE
12,"2SRR-FAVAR","RidgeStep1_AR",1.9481,1.8877,1.119,0.2645,FALSE
12,"2SRR-FAVAR","RidgeStep1_Factor",1.9481,1.7592,-0.274,0.7844,FALSE
12,"2SRR-FAVAR","RidgeStep1_FAVAR",1.9481,2.017,-0.936,0.3505,TRUE
